URL,Size,OutLinks,ContentType,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fsort%3DNewest%26tagid%255B%255D%3D5709,36311bytes,57,text/html,,
https://www.c-span.org/search/?query=victor%2Bdavis%2Bhanson&searchtype=Videos,72870bytes,102,text/html,,
https://www.c-span.org/search/?query=david%2Bhorowitz&searchtype=Videos,73319bytes,105,text/html,,
https://www.c-span.org/search/?query=david%2Bmccullough&searchtype=Videos,70230bytes,99,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3DAfter%252BWords%26searchtype%3DVideos,36336bytes,57,text/html,,
https://www.c-span.org/search/?query=christopher%2Bhitchens&searchtype=Videos,72889bytes,105,text/html,,
https://www.c-span.org/search/?query=bannon&searchtype=Videos,77593bytes,107,text/html,,
https://www.c-span.org/search/?query=steve%2Bbannon&searchtype=Videos,75309bytes,106,text/html,,
https://www.c-span.org/search/?query=christopher%2Bwray&searchtype=Videos,74997bytes,104,text/html,,
https://www.c-span.org/search/?query=book%2Btv&searchtype=Videos,72745bytes,107,text/html,,
https://www.c-span.org/search/?query=michael%2Blewis&searchtype=Videos,75276bytes,111,text/html,,
https://www.c-span.org/search/?query=roy%2Bmoore&searchtype=Videos,75284bytes,110,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fabout%2FvideoLibrary%2F,36250bytes,56,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fseriesid%255B%255D%3D5%26sort%3DNewest%26tagid%255B%255D%3D167,36367bytes,57,text/html,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7665,12465bytes,67,text/html,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fseriesid%255B%255D%3D5%26sort%3DNewest%26tagid%255B%255D%3D4246,36370bytes,57,text/html,,
https://www.c-span.org/classroom/search/?query=President%2BBiography&searchtype=classroom,37657bytes,108,text/html,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Foffers%2F,12451bytes,67,text/html,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2FMyC-SPANClassroom%2FclaimOffer%2F,12495bytes,67,text/html,,
https://www.c-span.org/classroom/document/?7496,12934bytes,71,text/html,,
https://www.c-span.org/classroom/document/?7426,14042bytes,75,text/html,,
https://www.c-span.org/classroom/document/?7424,13994bytes,75,text/html,,
https://www.c-span.org/classroom/document/?7421,12902bytes,71,text/html,,
https://www.c-span.org/classroom/document/?7420,12829bytes,71,text/html,,
https://www.c-span.org/classroom/document/?6475,15136bytes,71,text/html,,
https://www.c-span.org/classroom/document/?7564,16622bytes,73,text/html,,
https://www.c-span.org/classroom/document/?6594,19117bytes,72,text/html,,
https://www.c-span.org/classroom/document/?6482,15558bytes,72,text/html,,
https://www.c-span.org/classroom/document/?6481,14953bytes,72,text/html,,
https://www.c-span.org/classroom/document/?1831,17210bytes,74,text/html,,
https://www.c-span.org/classroom/document/?1835,16128bytes,73,text/html,,
https://www.c-span.org/classroom/document/?1834,19284bytes,75,text/html,,
https://www.c-span.org/classroom/document/?1833,15695bytes,69,text/html,,
https://www.c-span.org/classroom/document/?1832,16182bytes,72,text/html,,
https://www.c-span.org/classroom/document/?6841,17212bytes,72,text/html,,
https://www.c-span.org/classroom/document/?7257,15375bytes,72,text/html,,
