URL,Status,,
https://www.c-span.org/video/?424471-11%2Fsheriff-david-clarke-2017-conservative-political-action-conference,301,,
https://www.c-span.org/video/?424395-2%2F2017-conservative-political-action-conference-global-threats-violent-extremism,301,,
https://www.c-span.org/video/?424395-5%2F2017-conservative-political-action-conference-government-operations-panel,301,,
https://www.c-span.org/video/?424395-9%2Fambassador-john-bolton-2017-conservative-political-action-conference,301,,
https://www.c-span.org/search/?query=1st%2Bamendment&searchtype=Videos,200,,
https://www.c-span.org/video/?424395-4%2Fnigel-farage-2017-conservative-political-action-conference,301,,
https://www.c-span.org/search/?query=4th%2Bamendment&searchtype=Videos,200,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fall%255B%255D%3Dcpac%26edate%26sdate%26searchtype%3DVideos%26sort%3DMost%252BRecent%252BEvent%26text%3D0,200,,
https://www.c-span.org/video/?424471-4%2Frepresentative-mark-walker-2017-conservative-political-action-conference,301,,
https://www.c-span.org/search/?query=paul%2Bryan&searchtype=Videos,200,,
https://www.c-span.org/video/?424395-6%2Fwayne-lapierre-2017-conservative-political-action-conference,301,,
https://www.c-span.org/search/?query=supreme%2Bcourt&searchtype=All,200,,
https://www.c-span.org/search/?query=landmark%2Bcases&searchtype=All,200,,
https://www.c-span.org/search/?query=john%2Bhope%2Bbryant&searchtype=All,200,,
https://www.c-span.org/search/?query=john%2Bf.%2Bkennedy&searchtype=All,200,,
https://www.c-span.org/search/?query=education&searchtype=All,200,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fsearch%2F%3Fquery%3DLandmark%252BCases%26searchtype%3DAll,200,,
https://www.c-span.org/search/?query=sherrod%2Bbrown&searchtype=All,200,,
https://www.c-span.org/search/?query=john%2Bmccain&searchtype=All,200,,
https://www.c-span.org/search/?query=john%2Bw.%2Bkluge%2Bcenter&searchtype=All,200,,
https://www.c-span.org/search/?query=john%2Bkennedy&searchtype=All,200,,
https://www.c-span.org/video/?439913-4%2Fcommunicators-2018-ces-part-3,301,,
https://www.c-span.org/video/?438450-1%2Fcommunicators-jonathan-spalter,301,,
https://www.c-span.org/video/?c4712929%2Fkickstarter-ces,301,,
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3Fcommunicators,200,,
https://www.c-span.org/video/?439913-3%2Fcommunicators-2018-ces-part-2,301,,
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=15&sort=Trending,200,,
https://www.c-span.org/video/?435404-1%2Fcommunicators-bell-labs-part-1,301,,
https://www.c-span.org/video/?428385-1%2Fcommunicators-steve-case,301,,
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=15&sort=Most%2BRecent%2BAiring,200,,
https://www.c-span.org/video/?439913-5%2Fcommunicators-2018-ces-part-4,301,,
https://www.c-span.org/video/?439913-2%2Fcommunicators-2018-ces-part-1,301,,
https://www.c-span.org/video/?435404-2%2Fcommunicators-bell-labs-part-2,301,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7618,200,,
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7694,200,,
https://www.c-span.org/video/?441101-1%2Fcapitol-hill-budget-arrival,301,,
https://www.c-span.org/video/?441105-1%2Fstate-department-officials-fiscal-year-2019-budget,301,,
